YEAR,MONTH,QUARTER,MKT_CARRIER,MKT_CARRIER_AIRLINE_ID,MKT_CARRIER_NAME,MKT_UNIQUE_CARRIER,MKT_UNIQUE_CARRIER_NAME,OP_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER_NAME,OP_UNIQUE_CARRIER,OP_UNIQUE_CARRIER_NAME,PAX_ALT_TRANS,PAX_NO_ALT_TRANS,PAX_NO_COMP_1,PAX_NO_COMP_2,PAX_NO_COMP_3,TOT_DEN_BOARDING,PAX_COMP_1,PAX_COMP_2,PAX_UPGRADE,PAX_DOWNGRADE,TOT_BOARDING,COMP_PAID_1,COMP_PAID_2,COMP_PAID_3,CODE_SHARE,OP_CARRIER_SOURCE
2011,3,1,,,,,,EV,20366,Atlantic Southeast Airlines,EV,ExpressJet Airlines LLC,15,157,4,3,0,179,172,7702,3531,823,3185462,2870,95498,0,false,EV
2011,6,2,,,,,,EV,20366,Atlantic Southeast Airlines,EV,ExpressJet Airlines LLC,39,294,10,0,3,346,333,11694,5558,921,3708749,8492,167274,0,false,EV
2011,9,3,,,,,,EV,20366,Atlantic Southeast Airlines,EV,ExpressJet Airlines LLC,38,343,10,0,2,393,381,10215,6337,837,3723441,9652,268311,0,false,EV
2011,12,4,,,,,,EV,20366,Atlantic Southeast Airlines,EV,ExpressJet Airlines LLC,41,317,7,0,1,366,358,7463,4399,804,3426978,21909,301664,0,false,EV
2012,3,1,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,63,1173,26,27,12,1301,1224,13962,3330,854,6940687,33365,834540,10147,false,EV
2012,6,2,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,103,1297,74,69,34,1577,1471,14476,4043,910,7989888,43618,886114,43654,false,EV
2012,9,3,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,75,1784,101,32,17,2009,1867,16699,5483,1385,8193856,49078,1242909,50111,false,EV
2012,12,4,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,36,1517,79,27,18,1677,1512,13374,4584,1735,7729179,40414,1121100,36918,false,EV
2013,3,1,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,30,1616,63,22,32,1763,1610,13100,3999,2343,7107265,29071,1070441,32225,false,EV
2013,6,2,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,50,1399,90,28,26,1593,1459,11602,5388,1797,8226123,27073,1132337,0,false,EV
2013,9,3,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,76,997,22,43,20,1158,1104,9715,5105,1807,8253891,29129,783227,0,false,EV
2013,12,4,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,115,1684,51,35,23,1908,1821,13427,4685,1872,7769435,54558,1341374,0,false,EV
2014,3,1,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,123,2490,99,58,40,2810,2704,16093,3917,2133,6805801,59603,2042841,0,false,EV
2014,6,2,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,112,2451,72,95,54,2784,2645,16961,6336,2245,7735969,59280,2132120,0,false,EV
2014,9,3,,,,,,EV,20366,ExpressJet Airlines Inc.,EV,ExpressJet Airlines LLC,64,931,22,80,23,1120,1030,10615,6350,2294,7834239,20256,714781,0,false,EV
